,movie,year,fandango,nr_metascore,nr_imdb,nr_tmeter,nr_audience,title_urled,data
95,Lights Out,2016,4.0,3.0,3.0,4.0,3.0,lights_out_2016,"('$4.9 million[2]', 'Warner Bros. Pictures')"
96,Lion,2016,4.0,3.5,4.0,4.5,4.5,lion_2016,"('$12 million[3]', '\nTransmission Films (Australia)\nPictureworks (India)[1]\n')"
97,Live by Night,2016,3.5,2.5,3.0,1.5,2.0,live_by_night_2016,"('\n$90 million (gross)[2]\n$65 million (net)[3]\n', 'Warner Bros. Pictures')"
99,London Has Fallen,2016,4.5,1.5,3.0,1.0,2.5,london_has_fallen_2016,"('$60 million[3][4]', 'Focus Features[1]')"
100,Love & Friendship,2016,3.5,4.5,3.5,5.0,3.0,love_friendship_2016,"('$3 million[3]', '\nSophie Dulac Distribution (France)[1]\nCinéart (Netherlands)[1]\nLionsgate (United Kingdom)[1]\n')"
101,Loving,2016,4.0,4.0,3.5,4.5,4.0,loving_2016,"('$9 million[4]', 'Focus Features[2]')"
102,Manchester by the Sea,2016,3.5,5.0,4.0,5.0,4.0,manchester_by_the_sea_2016,"('$9\xa0million[2]', '\nAmazon Studios\nRoadside Attractions\n')"
103,Manhattan Night,2016,3.5,2.0,3.0,1.5,3.0,manhattan_night_2016,"(None, 'Lionsgate Premiere')"
104,Marauders,2016,4.5,2.0,2.5,1.0,1.5,marauders_2016,"(None, 'Lionsgate Premiere[1]')"
105,Masterminds,2016,3.5,2.5,3.0,1.5,2.0,masterminds_2016,"('$25 million[2]', 'Relativity Media')"
106,Max Steel,2016,3.5,1.0,2.5,0.0,2.0,max_steel_2016,"('$5–10 million[2]', 'Open Road Films')"
107,Me Before You,2016,4.5,2.5,3.5,3.0,3.5,me_before_you_2016,"('$20 million[3]', 'Warner Bros. Pictures')"
108,Mechanic: Resurrection,2016,4.0,2.0,3.0,1.5,2.0,mechanic_resurrection_2016,"('$10 million', 'United Artists')"
109,Midnight Special,2016,3.5,4.0,3.5,4.0,3.5,midnight_special_2016,"('$18 million[4]', 'Warner Bros. Pictures')"
110,Mike and Dave Need Wedding Dates,2016,4.0,2.5,3.0,2.0,2.5,mike_and_dave_need_wedding_dates_2016,"('$33–35 million[2][3]', '20th Century Fox')"
111,Miracles from Heaven,2016,4.5,2.0,3.5,2.0,4.0,miracles_from_heaven_2016,"('$14 million[2]', 'Sony Pictures Releasing')"
112,Misconduct,2016,3.0,1.0,2.5,0.5,1.0,misconduct_2016,"('$11 million', 'Lionsgate Premiere')"
113,Miss Peregrine's Home for Peculiar Children,2016,4.0,3.0,3.5,3.0,3.0,miss_peregrine_s_home_for_peculiar_children_2016,"('$110 million[3][4]', '20th Century Fox')"
114,Moana,2016,4.5,4.0,4.0,5.0,4.5,moana_2016,"('$150–175\xa0million[2][3]', 'Walt Disney StudiosMotion Pictures')"
115,Money Monster,2016,4.0,3.0,3.0,3.0,2.5,money_monster_2016,"('$27.4 million[2]', 'Sony Pictures Releasing')"
116,Moonlight,2016,4.0,5.0,4.0,5.0,4.0,moonlight_2016,"('$1.5 million[2][3]', 'A24')"
117,Morgan,2016,3.5,2.5,3.0,2.0,1.5,morgan_2016,"('$8 million[2][3]', '20th Century Fox')"
118,Mr. Church,2016,4.5,2.0,4.0,1.0,4.0,mr_church_2016,"('$8 million[2]', '\nCinelou Releasing\nFreestyle Releasing\n')"
